Origin Time:2024/04/03 09:07:16
Lon:121.70°E
Lat:24.05°N
Depth:21.8km
Mag:5.0
Stacode=TWE ,Staname=內城  ,Stalon=121.68,Stalat=24.72,Dist=  74.04,BAZ=178.54,PGA(V)=   0.66,PGA(NS)=   0.97,PGA(EW)=   1.35,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.37,PGV(SUM)=   0.09
Stacode=NSK ,Staname=三光  ,Stalon=121.37,Stalat=24.67,Dist=  77.00,BAZ=153.82,PGA(V)=   0.71,PGA(NS)=   0.73,PGA(EW)=   1.13,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.15,PGV(SUM)=   0.09
Stacode=ILA ,Staname=宜蘭市,Stalon=121.76,Stalat=24.76,Dist=  79.27,BAZ=184.02,PGA(V)=   0.61,PGA(NS)=   1.87,PGA(EW)=   1.57,PGV(V)=   0.03,PGV(NS)=   0.10,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   1.92,PGV(SUM)=   0.12
Stacode=SML ,Staname=日月潭,Stalon=120.91,Stalat=23.88,Dist=  82.86,BAZ= 76.98,PGA(V)=   0.58,PGA(NS)=   1.76,PGA(EW)=   3.08,PGV(V)=   0.04,PGV(NS)=   0.12,PGV(EW)=   0.22,Int= 2級,PGA(SUM)=   3.09,PGV(SUM)=   0.23
Stacode=ECB ,Staname=長濱  ,Stalon=121.45,Stalat=23.32,Dist=  85.14,BAZ= 17.45,PGA(V)=   0.41,PGA(NS)=   1.03,PGA(EW)=   1.10,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.30,PGV(SUM)=   0.08
Stacode=NTC ,Staname=頭城  ,Stalon=121.83,Stalat=24.85,Dist=  89.97,BAZ=188.34,PGA(V)=   0.66,PGA(NS)=   1.05,PGA(EW)=   1.21,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.25,PGV(SUM)=   0.09
Stacode=WHY ,Staname=信義鄉,Stalon=120.85,Stalat=23.70,Dist=  94.86,BAZ= 65.61,PGA(V)=   0.63,PGA(NS)=   1.01,PGA(EW)=   0.97,PGV(V)=   0.05,PGV(NS)=   0.05,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.27,PGV(SUM)=   0.09
Stacode=KSHI,Staname=關西  ,Stalon=121.18,Stalat=24.78,Dist=  96.63,BAZ=146.48,PGA(V)=   0.56,PGA(NS)=   1.30,PGA(EW)=   1.25,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.64,PGV(SUM)=   0.08
Stacode=YUS ,Staname=玉山  ,Stalon=120.96,Stalat=23.49,Dist=  97.99,BAZ= 50.52,PGA(V)=   0.51,PGA(NS)=   1.37,PGA(EW)=   2.20,PGV(V)=   0.02,PGV(NS)=   0.09,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   2.17,PGV(SUM)=   0.12
Stacode=NJD ,Staname=竹東  ,Stalon=121.09,Stalat=24.74,Dist=  98.19,BAZ=140.68,PGA(V)=   0.54,PGA(NS)=   1.47,PGA(EW)=   1.34,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.50,PGV(SUM)=   0.06
