Origin Time:2022/09/18 17:15:06
Lon:121.36E
Lat:23.22N
Depth:19.1km
Mag:4.6
Stacode=CHN2,Staname=チ动  ,Stalon=120.47,Stalat=23.53,Dist=  97.24,AZ=290.91,PGA(V)=   0.46,PGA(NS)=   0.55,PGA(EW)=   0.77,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1,PGA(SUM)=   0.81,PGV(SUM)=   0.06
Stacode=CHY ,Staname=古竡カ,Stalon=120.43,Stalat=23.50,Dist=  99.98,AZ=287.92,PGA(V)=   0.24,PGA(NS)=   1.12,PGA(EW)=   0.66,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1,PGA(SUM)=   1.11,PGV(SUM)=   0.08
Stacode=WDL ,Staname=ゆせカ,Stalon=120.54,Stalat=23.71,Dist= 100.56,AZ=303.13,PGA(V)=   0.44,PGA(NS)=   0.72,PGA(EW)=   0.91,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.06,Int= 1,PGA(SUM)=   1.02,PGV(SUM)=   0.06
Stacode=SHH ,Staname=穝て  ,Stalon=120.35,Stalat=23.02,Dist= 106.23,AZ=258.14,PGA(V)=   0.26,PGA(NS)=   0.69,PGA(EW)=   0.88,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.06,Int= 1,PGA(SUM)=   0.88,PGV(SUM)=   0.06
Stacode=SSH ,Staname=到て  ,Stalon=120.29,Stalat=23.14,Dist= 110.43,AZ=265.25,PGA(V)=   0.27,PGA(NS)=   1.03,PGA(EW)=   1.27,PGV(V)=   0.01,PGV(NS)=   0.09,PGV(EW)=   0.10,Int= 1,PGA(SUM)=   1.27,PGV(SUM)=   0.10
Stacode=SNJ ,Staname=罚标  ,Stalon=120.34,Stalat=22.75,Dist= 117.29,AZ=243.94,PGA(V)=   0.45,PGA(NS)=   1.52,PGA(EW)=   0.84,PGV(V)=   0.02,PGV(NS)=   0.10,PGV(EW)=   0.05,Int= 1,PGA(SUM)=   1.36,PGV(SUM)=   0.10
Stacode=SCL ,Staname=ㄎń  ,Stalon=120.20,Stalat=23.17,Dist= 118.97,AZ=267.60,PGA(V)=   0.11,PGA(NS)=   0.62,PGA(EW)=   0.97,PGV(V)=   0.01,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1,PGA(SUM)=   0.98,PGV(SUM)=   0.07
Stacode=TAI ,Staname=籓玭カ,Stalon=120.20,Stalat=23.00,Dist= 121.96,AZ=258.30,PGA(V)=   0.59,PGA(NS)=   0.66,PGA(EW)=   0.86,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1,PGA(SUM)=   0.81,PGV(SUM)=   0.06
Stacode=WSF ,Staname=打  ,Stalon=120.23,Stalat=23.64,Dist= 124.70,AZ=291.79,PGA(V)=   0.16,PGA(NS)=   0.77,PGA(EW)=   0.72,PGV(V)=   0.01,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1,PGA(SUM)=   0.81,PGV(SUM)=   0.07
Stacode=SCK ,Staname=  ,Stalon=120.09,Stalat=23.15,Dist= 130.91,AZ=266.52,PGA(V)=   0.11,PGA(NS)=   0.61,PGA(EW)=   0.72,PGV(V)=   0.01,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1,PGA(SUM)=   0.80,PGV(SUM)=   0.06
